source_file,line,syntax,link_kind,link_text_or_alt,raw_target,decoded_target,target_without_anchor,anchor,normalized_target,source_kind,target_kind,target_exists,target_is_asset,link_text_has_chinese,target_has_chinese,target_decoded_has_chinese,target_asset_name_has_chinese,needs_update_if_renamed
README.md,6,html_href,link,,assets/download.md,assets/download.md,assets/download.md,,assets/download.md,relative,file,yes,no,no,no,no,no,no
README.md,7,html_href,link,,assets/download.md,assets/download.md,assets/download.md,,assets/download.md,relative,file,yes,no,no,no,no,no,no
README.md,13,markdown_inline,link,:pencil2:,#pencil2-算法,#pencil2-算法,,pencil2-算法,README.md,relative,anchor,yes,no,no,yes,yes,no,yes
README.md,13,markdown_inline,link,:computer:,#computer-操作系统,#computer-操作系统,,computer-操作系统,README.md,relative,anchor,yes,no,no,yes,yes,no,yes
README.md,13,markdown_inline,link,:cloud:,#cloud-网络,#cloud-网络,,cloud-网络,README.md,relative,anchor,yes,no,no,yes,yes,no,yes
README.md,13,markdown_inline,link,:art:,#art-面向对象,#art-面向对象,,art-面向对象,README.md,relative,anchor,yes,no,no,yes,yes,no,yes
README.md,13,markdown_inline,link,:floppy_disk:,#floppy_disk-数据库,#floppy_disk-数据库,,floppy_disk-数据库,README.md,relative,anchor,yes,no,no,yes,yes,no,yes
README.md,13,markdown_inline,link,:coffee:,#coffee-java,#coffee-java,,coffee-java,README.md,relative,anchor,yes,no,no,no,no,no,no
README.md,13,markdown_inline,link,:bulb:,#bulb-系统设计,#bulb-系统设计,,bulb-系统设计,README.md,relative,anchor,yes,no,no,yes,yes,no,yes
README.md,13,markdown_inline,link,:wrench:,#wrench-工具,#wrench-工具,,wrench-工具,README.md,relative,anchor,yes,no,no,yes,yes,no,yes
README.md,13,markdown_inline,link,:watermelon:,#watermelon-编码实践,#watermelon-编码实践,,watermelon-编码实践,README.md,relative,anchor,yes,no,no,yes,yes,no,yes
README.md,13,markdown_inline,link,:memo:,#memo-后记,#memo-后记,,memo-后记,README.md,relative,anchor,yes,no,no,yes,yes,no,yes
README.md,25,markdown_inline,link,剑指 Offer 题解,https://github.com/CyC2018/CS-Notes/blob/master/notes/剑指%20Offer%20题解%20-%20目录.md,https://github.com/CyC2018/CS-Notes/blob/master/notes/剑指 Offer 题解 - 目录.md,notes/剑指 Offer 题解 - 目录.md,,notes/剑指 Offer 题解 - 目录.md,github_repo_url,file,yes,no,yes,yes,yes,no,yes
README.md,26,markdown_inline,link,Leetcode 题解,https://github.com/CyC2018/CS-Notes/blob/master/notes/Leetcode%20题解%20-%20目录.md,https://github.com/CyC2018/CS-Notes/blob/master/notes/Leetcode 题解 - 目录.md,notes/Leetcode 题解 - 目录.md,,notes/Leetcode 题解 - 目录.md,github_repo_url,file,yes,no,yes,yes,yes,no,yes
