path,kind,extension,size_bytes,is_markdown,is_asset,path_has_chinese,path_decoded_has_chinese,chinese_filename,decoded_filename,chinese_asset_name,decoded_asset_name,needs_filename_migration,has_chinese_headings,chinese_heading_count,chinese_headings,has_chinese_markdown_links,chinese_markdown_link_count,chinese_markdown_links,has_chinese_code_comments,chinese_code_comment_count,chinese_code_comments,review_reason,proposed_english_path,translation_status,notes
.gitignore,text,,63,no,no,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
README.md,markdown,.md,8114,yes,no,no,no,,,,,no,yes,11,L23:H2::pencil2: 算法 | L30:H2::computer: 操作系统 | L35:H2::cloud: 网络 | L41:H2::floppy_disk: 数据库 | L57:H2::bulb: 系统设计 | L66:H2::art: 面向对象 | L71:H2::wrench: 工具 | L78:H2::watermelon: 编码实践 | L83:H2::memo: 后记 | L85:H3:排版 | L103:H3:致谢,yes,38,L2:html_src->https://badgen.net/badge/CyC/%E5%9C%A8%E7%BA%BF%E9%98%85%E8%AF%BB?icon=sourcegraph&color=4ab8a1 | L6:html_src->https://badgen.net/badge/OvO/%E7%A6%BB%E7%BA%BF%E4%B8%8B%E8%BD%BD?icon=telegram&color=4ab8a1 | L7:html_src->https://badgen.net/badge/%e5%85%ac%e4%bc%97%e5%8f%b7/CyC2018?icon=rss&color=4ab8a1 | L13:markdown_inline::pencil2:->#pencil2-算法 | L13:markdown_inline::computer:->#computer-操作系统 | L13:markdown_inline::cloud:->#cloud-网络 | L13:markdown_inline::art:->#art-面向对象 | L13:markdown_inline::floppy_disk:->#floppy_disk-数据库 | L13:markdown_inline::bulb:->#bulb-系统设计 | L13:markdown_inline::wrench:->#wrench-工具 | L13:markdown_inline::watermelon:->#watermelon-编码实践 | L13:markdown_inline::memo:->#memo-后记 | L25:markdown_inline:剑指 Offer 题解->https://github.com/CyC2018/CS-Notes/blob/master/notes/剑指%20Offer%20题解%20-%20目录.md | L26:markdown_inline:Leetcode 题解->https://github.com/CyC2018/CS-Notes/blob/master/notes/Leetcode%20题解%20-%20目录.md | L27:markdown_inline:算法->https://github.com/CyC2018/CS-Notes/blob/master/notes/算法%20-%20目录.md | L28:markdown_inline:字节跳动内推->assets/内推.md | L32:markdown_inline:计算机操作系统->https://github.com/CyC2018/CS-Notes/blob/master/notes/计算机操作系统%20-%20目录.md | L37:markdown_inline:计算机网络->https://github.com/CyC2018/CS-Notes/blob/master/notes/计算机网络%20-%20目录.md | L43:markdown_inline:数据库系统原理->https://github.com/CyC2018/CS-Notes/blob/master/notes/数据库系统原理.md | L44:markdown_inline:SQL 语法->https://github.com/CyC2018/CS-Notes/blob/master/notes/SQL%20语法.md | L45:markdown_inline:SQL 练习->https://github.com/CyC2018/CS-Notes/blob/master/notes/SQL%20练习.md | L51:markdown_inline:Java 基础->https://github.com/CyC2018/CS-Notes/blob/master/notes/Java%20基础.md | L52:markdown_inline:Java 容器->https://github.com/CyC2018/CS-Notes/blob/master/notes/Java%20容器.md | L53:markdown_inline:Java 并发->https://github.com/CyC2018/CS-Notes/blob/master/notes/Java%20并发.md | L54:markdown_inline:Java 虚拟机->https://github.com/CyC2018/CS-Notes/blob/master/notes/Java%20虚拟机.md | L59:markdown_inline:系统设计基础->https://github.com/CyC2018/CS-Notes/blob/master/notes/系统设计基础.md | L60:markdown_inline:分布式->https://github.com/CyC2018/CS-Notes/blob/master/notes/分布式.md | L61:markdown_inline:集群->https://github.com/CyC2018/CS-Notes/blob/master/notes/集群.md | L62:markdown_inline:攻击技术->https://github.com/CyC2018/CS-Notes/blob/master/notes/攻击技术.md | L63:markdown_inline:缓存->https://github.com/CyC2018/CS-Notes/blob/master/notes/缓存.md | L64:markdown_inline:消息队列->https://github.com/CyC2018/CS-Notes/blob/master/notes/消息队列.md | L68:markdown_inline:面向对象思想->https://github.com/CyC2018/CS-Notes/blob/master/notes/面向对象思想.md | L69:markdown_inline:设计模式->https://github.com/CyC2018/CS-Notes/blob/master/notes/设计模式%20-%20目录.md | L75:markdown_inline:构建工具->https://github.com/CyC2018/CS-Notes/blob/master/notes/构建工具.md | L76:markdown_inline:正则表达式->https://github.com/CyC2018/CS-Notes/blob/master/notes/正则表达式.md | L80:markdown_inline:代码可读性->https://github.com/CyC2018/CS-Notes/blob/master/notes/代码可读性.md | L81:markdown_inline:代码风格规范->https://github.com/CyC2018/CS-Notes/blob/master/notes/代码风格规范.md | L87:markdown_inline:中文文案排版指北->https://github.com/sparanoid/chinese-copywriting-guidelines/blob/master/README.zh-CN.md,no,0,,Chinese headings; Chinese Markdown/HTML links,,not_started,
assets/LogoMakr_0zpEzN.png,asset,.png,34067,no,yes,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
assets/column.png,asset,.png,5232,no,yes,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
assets/download-html.png,asset,.png,225255,no,yes,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
assets/download-markdown.png,asset,.png,277164,no,yes,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
assets/download-pdf.png,asset,.png,225823,no,yes,no,no,,,,,no,no,0,,no,0,,no,0,,,,not_needed,
assets/download.md,markdown,.md,1398,yes,no,no,no,,,,,no,yes,3,L1:H1:目的 | L5:H1:内容 | L29:H1:如何下载,yes,1,L33:html_src->公众号二维码-2.png,no,0,,Chinese headings; Chinese Markdown/HTML links,,not_started,
assets/今日头条招聘海报.png,asset,.png,2456733,no,yes,yes,yes,今日头条招聘海报.png,,今日头条招聘海报.png,,yes,no,0,,no,0,,no,0,,Chinese filename; Chinese asset name,assets/jinri-toutiao-recruitment-poster.png,proposed,Brand name Jinri Toutiao may need review.
assets/公众号二维码-2.png,asset,.png,66522,no,yes,yes,yes,公众号二维码-2.png,,公众号二维码-2.png,,yes,no,0,,no,0,,no,0,,Chinese filename; Chinese asset name,assets/wechat-official-account-qr-code-2.png,proposed,
assets/公众号海报7.png,asset,.png,84647,no,yes,yes,yes,公众号海报7.png,,公众号海报7.png,,yes,no,0,,no,0,,no,0,,Chinese filename; Chinese asset name,assets/wechat-official-account-poster-7.png,proposed,
